number,title,url,current_labels,proposed_labels,current_milestone,proposed_milestone,lane,proposed_status,proposed_action,confidence,evidence_summary,canonical_issue_or_pr,updated_at
2,Documentation Overhaul,https://github.com/revgizmo/engager/issues/2,documentation;priority:low;area:documentation,documentation;priority:low;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: documentation; priority:low; area:documentation | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:10Z
4,CRAN Preparation,https://github.com/revgizmo/engager/issues/4,enhancement;priority:high;priority:low;CRAN:submission;area:infrastructure,enhancement;priority:high;CRAN:submission;area:infrastructure;status:ready,"",CRAN external checks,cran,status:ready,keep,high,Current labels: enhancement; priority:high; priority:low; CRAN:submission; area:infrastructure | Register lane: cran | Proposed action: keep | Proposed status: status:ready | Proposed milestone: CRAN external checks | Release-control umbrella kept open until actual CRAN submission or explicit release-owner disposition,"",2025-09-09T03:18:28Z
6,Function Documentation Review,https://github.com/revgizmo/engager/issues/6,documentation;priority:medium;area:documentation,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: documentation; priority:medium; area:documentation | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-07-29T17:46:25Z
32,Update and complete roxygen2 documentation for all exported functions,https://github.com/revgizmo/engager/issues/32,documentation;priority:medium;area:documentation,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: documentation; priority:medium; area:documentation | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-07-29T17:47:05Z
36,Cross-reference issues and track progress in AUDIT_LOG.md,https://github.com/revgizmo/engager/issues/36,documentation;priority:low;area:documentation,documentation;priority:low;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: documentation; priority:low; area:documentation | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-07-29T17:48:13Z
39,Optimize GitHub Actions workflow for faster dependency installation,https://github.com/revgizmo/engager/issues/39,enhancement;priority:low;status:blocked;area:infrastructure,enhancement;priority:low;status:blocked;area:infrastructure;performance;area:core,"",0.2.0 product,performance,status:blocked,comment,medium,Current labels: enhancement; priority:low; status:blocked; area:infrastructure | Register lane: performance | Proposed action: comment | Proposed status: status:blocked | Proposed milestone: 0.2.0 product,"",2025-08-16T21:15:04Z
47,Create verification helper script,https://github.com/revgizmo/engager/issues/47,enhancement;priority:medium;area:infrastructure,enhancement;priority:medium;area:infrastructure;status:ready,"",0.1.x stabilization,infrastructure,status:ready,relabel,medium,Current labels: enhancement; priority:medium; area:infrastructure | Register lane: infrastructure | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:16:08Z
50,Generalize Topic parsing in load_zoom_recorded_sessions_list to only extract section and optionally dept,https://github.com/revgizmo/engager/issues/50,enhancement;priority:medium;area:core,enhancement;priority:medium;area:core;status:ready,"",0.2.0 product,core,status:ready,relabel,medium,Current labels: enhancement; priority:medium; area:core | Register lane: core | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.2.0 product,"",2025-08-13T23:16:44Z
56,Add transcript_file column with intelligent duplicate handling,https://github.com/revgizmo/engager/issues/56,enhancement;priority:high;area:core,enhancement;priority:high;area:core;area:infrastructure;status:ready,"",0.1.x stabilization,infrastructure,status:ready,relabel,medium,Current labels: enhancement; priority:high; area:core | Register lane: infrastructure | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:16:43Z
85,Review functions for ethical use and equitable participation focus,https://github.com/revgizmo/engager/issues/85,documentation;area:core;ethical,documentation;area:core;ethical;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: documentation; area:core; ethical | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-04T22:07:19Z
91,Improve pre-PR validation robustness,https://github.com/revgizmo/engager/issues/91,enhancement;priority:medium,enhancement;priority:medium;area:testing;status:ready,"",0.1.x stabilization,testing,status:ready,relabel,medium,Current labels: enhancement; priority:medium | Register lane: testing | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:16:06Z
93,Analyze Cursor Bugbot comments and improve local validation,https://github.com/revgizmo/engager/issues/93,enhancement;priority:medium,enhancement;priority:medium;area:testing;status:ready,"",0.1.x stabilization,testing,status:ready,relabel,medium,Current labels: enhancement; priority:medium | Register lane: testing | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:16:07Z
97,Support multiple Zoom file types: cc.vtt and chat.txt files,https://github.com/revgizmo/engager/issues/97,enhancement;priority:medium;area:core,enhancement;priority:medium;area:core;status:ready,"",0.2.0 product,core,status:ready,relabel,medium,Current labels: enhancement; priority:medium; area:core | Register lane: core | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.2.0 product,"",2025-08-13T23:16:41Z
99,Improve QA testing process and infrastructure,https://github.com/revgizmo/engager/issues/99,enhancement;priority:medium;area:testing;status:blocked,enhancement;priority:medium;area:testing;status:blocked,"",0.1.x stabilization,testing,status:blocked,comment,medium,Current labels: enhancement; priority:medium; area:testing; status:blocked | Register lane: testing | Proposed action: comment | Proposed status: status:blocked | Proposed milestone: 0.1.x stabilization,"",2025-08-16T21:15:15Z
101,Document QA vs Real-World Testing relationship and integration,https://github.com/revgizmo/engager/issues/101,documentation;priority:medium;area:testing,documentation;priority:medium;area:testing;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: documentation; priority:medium; area:testing | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:15:52Z
110,Performance: Vectorized operations for lag functions,https://github.com/revgizmo/engager/issues/110,enhancement;priority:medium;refactor,enhancement;priority:medium;refactor;performance;area:core;status:ready,"",0.2.0 product,performance,status:ready,relabel,medium,Current labels: enhancement; priority:medium; refactor | Register lane: performance | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.2.0 product,"",2025-08-13T23:16:42Z
147,test: wrap intentional warnings in expect_warning() to reduce CI noise,https://github.com/revgizmo/engager/issues/147,"",priority:medium;ci;area:testing;status:needs-triage,"",0.1.x stabilization,testing,status:needs-triage,comment,low,No current labels | Register lane: testing | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:15:56Z
148,"privacy: evaluate masking of additional identifiers (e.g., instructor)",https://github.com/revgizmo/engager/issues/148,"",priority:medium;privacy;area:core;status:needs-triage,"",0.1.x stabilization,privacy,status:needs-triage,comment,low,No current labels | Register lane: privacy | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:16:34Z
153,test: Real-world FERPA compliance validation,https://github.com/revgizmo/engager/issues/153,priority:high;priority:medium;area:testing;FERPA;CRAN-blocker,priority:high;priority:medium;area:testing;privacy;CRAN-blocker;area:infrastructure;status:ready,"",CRAN external checks,cran,status:ready,keep,high,Current labels: priority:high; priority:medium; area:testing; FERPA; CRAN-blocker | Register lane: cran | Proposed action: keep | Proposed status: status:ready | Proposed milestone: CRAN external checks | Plan marks this as an active CRAN gate decision,"",2025-08-25T13:41:57Z
154,docs: Institutional FERPA compliance adoption guide,https://github.com/revgizmo/engager/issues/154,documentation;priority:high;priority:medium;FERPA;CRAN-blocker,documentation;priority:high;priority:medium;privacy;CRAN-blocker;area:infrastructure;status:ready,"",CRAN external checks,cran,status:ready,keep,high,Current labels: documentation; priority:high; priority:medium; FERPA; CRAN-blocker | Register lane: cran | Proposed action: keep | Proposed status: status:ready | Proposed milestone: CRAN external checks | Plan marks this as an active CRAN gate decision,"",2025-08-25T13:59:16Z
168,investigate: Performance threshold for consolidate_transcript test is too strict,https://github.com/revgizmo/engager/issues/168,"",priority:medium;performance;area:core;status:needs-triage,"",0.2.0 product,performance,status:needs-triage,comment,low,No current labels | Register lane: performance | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: 0.2.0 product,"",2025-08-13T23:15:57Z
172,HIGH PRIORITY: Review pre-pr-validation and context scripts for quality and performance,https://github.com/revgizmo/engager/issues/172,"",priority:medium;performance;area:core;status:needs-triage,"",0.2.0 product,performance,status:needs-triage,comment,low,No current labels | Register lane: performance | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: 0.2.0 product,"",2025-08-13T23:15:54Z
174,Fix README repo and issues links to canonical repository,https://github.com/revgizmo/engager/issues/174,docs;readme;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; readme; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:12Z
175,"Add badges to README (R CMD check, pkgdown, license, lifecycle)",https://github.com/revgizmo/engager/issues/175,docs;readme;pkgdown;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; readme; pkgdown; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:13Z
176,Improve Install section: devtools and pak; add CRAN note,https://github.com/revgizmo/engager/issues/176,docs;readme;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; readme; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:14Z
177,Add 60-second end-to-end quickstart snippet to README,https://github.com/revgizmo/engager/issues/177,docs;readme;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; readme; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:16Z
178,Document supported file types and limitations in README,https://github.com/revgizmo/engager/issues/178,docs;readme;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; readme; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:16Z
179,Add roster requirements to README and link to load_roster(),https://github.com/revgizmo/engager/issues/179,docs;readme;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; readme; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:17Z
